#
#  ecocyc 9.5 Genes link table generated on Wed Jul 27, 2005
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  SwissProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   EG#          = EcoGene identifier
#   b#           = Blattner Genbank record identifier
#   y-name       = EcoGene y-name assigned in 1998 if the function was not established at that time
#   CGSC-ID      = Coli Genetic Stock Center identifier
#   SwissProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G7363		b2628	yfjL		P52127	yfjL
G7362		b2627	yfjK		P52126	yfjK
G7361		b2626	yfjJ		P52125	yfjJ
G7360		b2625	yfjI		P52124	yfjI
G7359		b2623	yfjH		P52123	yfjH
G7280		b2450	yffS		P76550	yffS
G7279		b2449	yffR		P76549	yffR
G7278		b2448	yffQ		P76548	yffQ
G7277		b2447	yffP		P76547	yffP
G7276		b2446	yffO		P76546	yffO
G7275		b2445	yffN		P76545	yffN
G7274		b2444	yffM		P76544	yffM
G7273		b2443	yffL		P76543	yffL
G7272		b2442			P76542	intZ
G7232		b2363	yfdT		P76516	yfdT
G7231		b2362	yfdS		P76515	yfdS
G7230		b2361	yfdR		P76514	yfdR
G7229		b2360	yfdQ		P76513	yfdQ
G7228		b2359	yfdP		P76512	yfdP
G7227		b2358	yfdO		P76511	yfdO
G7226		b2357	yfdN		P76510	yfdN
G7225		b2356	yfdM		P76509	yfdM
G7224		b2355	yfdL		P76508	yfdL
G7223		b2354	yfdK		P77656	yfdK
G7222		b2353	yfdJ		P77326	tfaS
G7221		b2352	yfdI		P76507	yfdI
G7220		b2351	yfdH		P77293	yfdH
G7219		b2350	yfdG		P77682	yfdG
G7218		b2349	yfdB		P37326	intS
G7202		b2331	yfcN		P77458	yfcN
G7148		b2176			P76446	rtn
G7120		b2083	yegZ		P76404	yegZ
G7119		b2082			P37057	ogrK
G7101		b2056			P71238	wcaD
G7086		b2006	yeeW		P76366	yeeW
G7083		b2003	yeeT		P76363	yeeT
G7082		b2002	yeeS		P76362	yeeS
G7081		b2001	yeeR		P76361	yeeR
G7080		b2000	yzzX		P39180	agn43
G7079		b1999	yeeP		P76359	yeeP
G7077		b1997			P19776	b1997
G7076		b1996			P19777	b1996
G6837		b1579			P76168	intQ
G6836		b1578			P76167	b1578
G6835		b1568	ydfX		P76165	ydfX
G6834		b1567	ydfW		P76164	b1567
G6833		b1566			P77609	flxA
G6832		b1565	ydfV		P76163	ydfV
G6831		b1560	ydfU		P76162	ydfU
G6830		b1559	ydfT		P76161	ydfT
G6829		b1556	ydfS		P77237	essQ
G6828		b1555	ydfR		P76160	ydfR
G6827		b1554	ydfQ		P76159	ydfQ
G6826		b1553	ydfP		P76158	ydfP
G6824		b1551	ynfN		P76157	ynfN
G6822		b1549	ydfO		P76156	ydfO
G6821		b1547	ydfN		P77515	ydfN
G6820		b1546	ydfM		P76155	tfaQ
G6819		b1545	ydfL		P77170	pinQ
G6818		b1544	ydfK		P76154	ydfK
G6698		b1375	ynaE		P76073	ynaE
G6697		b1374	ynaD		P77574	pinR
G6696		b1373	ynaC		P77163	tfaR
G6695		b1372	ynaB		P76072	stfR
G6694		b1371			Q79EK6	b1371
G6693		b1370			P76071	b1370
G6692		b1369				b1369
G6691		b1368	ynaA		P77658	ynaA
G6690		b1367			P76070	b1367
