ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YNL103W	MET4	1.02	1.16	.65	.77	1.23	.85	
YNL104C	LEU4	1.2	2	1.28	.97	1.08	2.44	
YNL105W		1.23	.81	.91	.76	1.47	.93	
YNL106C		.99	.96	1.02	.96	1.19	1.19	
YNL107W		1.33	.94	.85	.65	1.1	.56	
YNL108C		.84	.83	.68	.75	.88	.48	
YNL109W		.93	.67	.66	.56	.76	.38	
YNL110C		.88	1.01	.53	.52	.27	.21	
YNL111C	CYB5	.72	.76	.6	.59	.29	.23	
YNL112W	DBP2	1.06	1.19	.65	.58	.47	.3	
YNL113W	RPC19	.76	1.04	.6	.62	.56	.42	
YNL114C		.75	.91	.65	.63	.87	.26	
YNL115C		1.04	1.22	.88	1.43	3.13	2.33	
YNL116W		1.09	1.11	.71	.9	1.16	1.28	
YNL117W	MLS1	.97	1.64	.81	.83	1.69	9.09	
YNL118C	PSU1	1.16	1.18	1.04	1.03	.93	.91	
YNL119W		.98	1.23	.86	.87	.45	.14	
YNL120C		.88	.82	.62	.6	.33	.41	
YNL121C	TOM70	.77	.77	.79	.7	.91	1.32	
YNL122C		.88	.99	1.05	1.28	1.69	1.11	
YNL123W		.84	.68	.57	.53	.34	.29	
YNL124W		.86	.74	.5	.54	.43	.39	
YNL125C		.93	1.14	1	1.09	1.52	1.89	
YNL126W		1.01	.82	.78	.69	.59	.44	
YNL127W		1.18	1.16	1.06	.93	.87	.66	
YNL128W		1.09	1.15	.94	.92	1.25	1.2	
YNL129W		.79	1.03	1.04	.81	.93	.59	
YNL130C	CPT1	1.19	1.43	1.3	1.18	.99	.87	
YNL131W	TOM22	.85	1	.94	.85	1.11	.57	
YNL132W		1.06	1.02	.53	.49	.26	.21	
YNL133C		.66	.81	.83	.85	1.41	1.11	
YNL134C		1.06	1.05	1.08	1.2	5	4.17	
YNL135C	FPR1	.97	1.28	1.19	1.23	1.32	.62	
YNL136W		.74	.92	.77	.75	1.09	.88	
YNL137C	NAM9	.99	.97	1	1.03	1.52	1.02	
YNL138W	SRV2	1.16	1.03	.83	1.06	.95	.69	
YNL139C	RLR1	1.06	1.12	.89	.81	.72	.63	
YNL140C		.96	.99	.75	.76	.64	.78	
YNL141W		.97	.95	.42	.44	.14	.11	
YNL142W	MEP2	.93	1.05	.97	1.19	1.28	1.59	
YNL143C		.95	.79	.69	.77	.8	.69	
YNL144C		.72	.91	1.15	1.59	3.85	3.85	
YNL145W	MFA2	.91	1.25	1.14	1.28	1.05	.68	
YNL146W		.79	.85	.97	1.04	1.92	1.96	
YNL147W		.77	.94	.84	.78	1.04	.67	
YNL148C		.62	.73	.65	.66	.83	.85	
YNL149C		.92	1.16	.94	.85	.77	.48	
YNL150W		.9	1.11	.9	.93	.81	.55	
YNL151C	RPC31	1.08	1.25	.83	.81	.89	.65	
YNL152W		.81	.92	.72	.78	.92	.63	
YNL153C		.87	1.12	.93	.81	.98	.46	
YNL154C	YCK2	.93	1.39	.96	.9	.95	.55	
YNL155W		1.03	1.28	1.16	1.02	2.22	1.04	
YNL156C		1.18	1.15	1.02	1.1	2.27	1.67	
YNL157W		.85	.96	1.1	.91	1.59	1.01	
YNL158W		.93	.91	.83	.86	.88	.85	
YNL159C		.97	1.05	1.16	1.02	1.54	1.27	
YNL160W	YGP1	1.27	2.17	2.78	3.33	8.33	7.14	
YNL161W		1	1.02	.89	.76	1.22	.79	
YNL162W	RPL41A	.77	.79	.68	.8	.41	.25	
YNL163C		1.11	1	.74	.56	.64	.4	
YNL164C		1.15	1.37	.79	.78	1.52	1.35	
YNL165W		1.03	.95	.63	.63	1.2	.72	
YNL166C		1.22	1.41	.91	1.02	1.61	.69	
YNL167C	SKO1	.75	.85	.85	.82	1.1	.61	
YNL168C		1.14	1.09	.78	1.04	1.08	.9	
YNL169C	PSD1	1.23	1.23	.98	.97	1.18	.75	
YNL170W		.96	.93	.73	.94	.83	.81	
YNL171C		.83	.78	.82	.65	.93	.81	
YNL172W		.98	1.09	.89	1.11	.87	.88	
YNL173C		.84	1.08	1.82	1.72	6.25	3.23	
YNL174W		.86	1.01	.51	.54	.19	.44	
YNL175C		.88	1.09	.64	.53	.31	.16	
YNL176C		1.14	1.28	.85	.83	.97	1.49	
YNL177C		1.02	1.43	1.3	1.16	1.54	1	
YNL178W	RPS3	.96	1.03	.85	.94	.56	.22	
YNL179C		.89	.93	.87	.78	1.39	1.28	
YNL180C		.97	1	.77	.8	1.67	1.61	
YNL181W		.96	1.11	1.01	.93	1.82	1.03	
YNL182C		.96	1.11	.49	.51	.27	.26	
YNL183C	NPR1	.99	.94	.85	.81	1.23	1.19	
YNL184C		.84	.88	.75	1.04	1.12	.87	
YNL185C		.81	.83	.84	.83	1.25	.63	
YNL186W		1.25	1.12	.6	.63	.52	.69	
YNL187W		.86	1.05	.81	.75	1.37	.99	
YNL188W	KAR1	1.08	1.45	.83	1.03	1.37	.95	
YNL189W	SRP1	1.28	.81	.69	.63	.48	.42	
YNL190W		.97	1.15	.76	.93	.86	1.18	
YNL191W		.93	.98	.82	.68	1.06	.67	
YNL192W	CHS1	1.19	1.19	.83	1.02	.59	.6	
YNL193W		1.04	1.08	.85	.81	1.43	1.05	
YNL194C		1.02	1.1	.89	1.23	14.29	10	
YNL195C		.85	.93	.9	1.02	1.69	5	
YNL196C		.95	1.33	.75	1.08	1.47	1.85	
YNL197C	WHI3	1.03	1.52	.97	.79	.96	.72	
YNL198C		.81	.88	.71	.75	.66	.92	
YNL199C	GCR2	1.01	1.22	.92	.82	1.75	1.09	
YNL200C		.98	1.28	2.38	2.86	14.29	5.88	
YNL201C		1.05	.95	.86	.72	.75	.7	
YNL202W	SPS19	.88	.98	.83	1.02	2.04	2.08	
YNL203C		.93	.95	.91	.87	1.72	1.72	
YNL204C	SPS18	.98	.93	.67	.87	.76	1.02	
YNL205C		.81	.92	.64	.7	1.05	.62	
YNL206C		1.04	.98	.85	.74	.6	.59	
YNL207W		.93	.82	.53	.51	.29	.36	
YNL208W		.69	1.09	1.15	.99	1.3	1.43	
YNL209W	SSB2	1.05	1.08	.97	.96	.52	.27	
YNL210W	MER1	.96	1.03	.81	.92	.66	.74	
YNL211C		.9	1.03	.87	.79	1.14	.79	
YNL212W		.92	1	.82	.97	.78	1.02	
YNL213C		.85	1.01	.83	.86	1.41	.9	
YNL214W		.78	.89	.79	.97	1.49	1.37	
YNL215W		.87	.94	.81	.85	1.54	1.12	
YNL216W	RAP1	.83	.7	.56	.61	.23	.49	
YNL217W		.83	1.06	.92	1.12	.63	.59	
YNL218W		1.08	1.14	.88	.93	1.32	.92	
YNL219C		1.09	1.39	1.14	1.01	1.12	.76	
YNL220W	ADE12	1.59	1.72	1.39	1.64	.89	.53	
YNL221C	POP1	.85	.89	.71	.61	.42	.42	
YNL222W	SSU72	1.06	1.01	.89	.74	.71	.76	
YNL223W		.78	.96	.92	.72	1.72	1.59	
YNL224C		.85	1.2	.99	.98	1.35	.99	
YNL225C		.76	1.03	.83	.93	1.32	.65	
YNL226W		.91	.94	.77	.69	.68	.64	
YNL227C		.84	1.19	.58	.64	.93	.54	
YNL228W		.9	1.16	.64	.68	.65	.56	
YNL229C	URE2	.85	.93	.78	.74	.85	.62	
YNL230C		.88	1.49	1.02	.69	1.04	1.09	
YNL231C		.97	1.12	.88	.72	.98	.64	
YNL232W		.97	1.2	.78	.7	.85	.71	
YNL233W		.76	.75	.79	.85	.63	.55	
YNL234W		1	.96	.61	.65	1.19	.57	
YNL235C		.68	.73	.68	.68	.45	.41	
YNL236W	SIN4	.82	.7	.69	.7	.53	.37	
YNL237W	YTP1	.76	.96	.79	.93	1.54	1.39	
YNL238W	KEX2	1.14	.83	.72	.74	.93	.39	
YNL239W	LAP3	1.03	1.2	.79	.85	1.09	1.19	
YNL240C		.92	1.25	.81	.72	1.16	.91	
YNL241C	ZWF1	.94	.88	.78	.83	1.32	1.37	
YNL242W		.95	.88	.77	.79	.79	1.1	
YNL243W	SLA2	.78	.85	.92	.85	.79	.53	
YNL244C	SUI1	.86	.9	.79	.71	.53	.35	
YNL245C		.83	1.03	.8	.71	1.05	.71	
YNL246W		.92	.98	.76	.75	.95	.88	
YNL247W		.9	.86	.75	.67	.34	.23	
YNL248C	RPA49	1.03	1.3	.65	.59	.61	.3	
YNL249C	MPA43	.95	1.43	.89	.79	1	.63	
YNL250W	RAD50	1.09	1.23	.88	.85	1.15	.89	
YNL251C	NRD1	.88	.81	.66	.63	.72	1.18	
YNL252C		1.3	1.32	1.14	.73	1.96	1.28	
YNL253W		.96	1.06	.79	.69	1.39	1.14	
YNL254C		1.02	1.11	.8	.85	.95	.82	
YNL255C		.88	1	.71	.67	.66	.36	
YNL256W		.82	1.01	.59	.52	.28	.31	
YNL257C	SIP3	.85	.99	1.02	1.04	1.04	.79	
YNL258C		.95	1.01	.98	1.04	.96	.83	
YNL259C	ATX1	.96	1.09	1.18	1.35	.93	.86	
YNL260C		.95	.97	.91	.83	.99	.63	
YNL261W	ORC5	1.08	1.22	.83	.81	1.02	.61	
YNL262W	POL2	.89	.94	.84	.89	.78	.75	
YNL263C		1.03	1.33	1.03	1.03	.98	.72	
YNL264C		1.05	1.25	.84	.87	1.33	1	
YNL265C		.83	1.43	.97	1.08	1.79	1.39	
YNL266W		.98	1.09	1.19	1.52	1.85	1.39	
YNL267W	PIK1	1.2	1.28	1.01	1.14	1.25	.81	
YNL268W	LYP1	1.27	1.23	.86	.76	1.11	.98	
YNL269W		1.1	.83	.84	.74	.97	.97	
YNL270C	ALP1	.94	1.27	.83	.87	1.56	1.39	
YNL271C	BNI1	1.03	1.06	.99	.95	.71	.59	
YNL272C	SEC2	1.06	1.18	1	.93	1.01	.83	
YNL273W		.87	.85	.97	.85	.63	.6	
YNL274C		1.04	1.28	1.56	1.41	6.67	3.23	
YNL275W		1.2	1.05	.81	.72	1.28	.81	
YNL276C		.97	.88	.85	.77	1.18	1.2	
YNL277W	MET2	.74	1.19	.81	.59	1.28	1.1	
YNL278W		.94	.94	.88	.85	.83	.86	
YNL279W		.93	1.22	.81	.72	1.3	.79	
YNL280C	ERG24	1.39	1.61	1.11	.98	.81	.69	
YNL281W		.95	.96	.85	.94	.95	.66	
YNL282W	(POP2)	.94	.94	.72	.88	.53	.55	
YNL283C		1.28	1.56	1.01	1	1.19	.68	
YNL284C		1.2	1.11	1.1	1.32	1.61	1.25	
YNL285W		.77	1.15	.79	.89	1.35	.95	
YNL286W		.86	.85	.89	.93	.67	.99	
YNL287W	SEC21	1.2	1.19	.88	.95	.65	.65	
YNL288W		1.27	1.25	.78	.78	.76	.61	
YNL289W	HCS26	1.22	.93	.94	.76	.44	.5	
YNL290W	RFC3	1.2	1.39	.95	1.02	1.05	.83	
YNL291C	MID1	1.06	1.25	.85	1.15	.46	.51	
YNL292W		.87	.98	.82	.75	.51	.37	
YNL293W		.92	1.41	.99	.87	1.59	1.33	
YNL294C		1.05	1.19	1.2	.83	1.25	1.27	
YNL295W		.79	.92	.92	.73	1.2	1.04	
YNL296W		1.03	.8	.88	.79	.89	1.03	
YNL297C		.99	.79	.81	.83	.76	.73	
YNL298W	CLA4	.94	1.03	.75	.6	1.16	.81	
YNL299W	TRF5	.74	1.1	.58	.63	.93	.4	
YNL300W		1.06	1.08	.97	1.04	.75	.68	
YNL301C	RP28B	.92	1.19	.81	.68	.27	.18	
YNL302C	RPS16A	1.25	1.28	1.03	1.09	.45	.21	
YNL303W		.6	.79	.65	.46	.17	.18	
YNL304W		.68	1.27	.81	.78	1.43	1	
YNL305C		1.08	1.41	1.1	1.85	5.26	2.17	
YNL306W		.96	1.11	1.16	1.69	1.82	1.28	
YNL307C	MCK1	1.14	1.45	1.33	1.43	1.49	.84	
YNL308C		1.09	1.16	.51	.61	.4	.43	
YNL309W	STB1	.86	.85	.84	.58	1.14	.78	
YNL310C		1	1.18	.87	1.12	1.06	.93	
YNL311C		.78	.75	.68	.75	.86	.5	
YNL312W	RFA2	1.04	.83	.62	.75	.51	.47	
YNL313C		.82	.68	.51	.45	.32	.24	
YNL314W	DAL82	.93	1.06	.71	.83	.74	.85	
YNL315C	ATP11	.98	1.18	1.22	1.39	2.13	1.03	
YNL316C	PHA2	1.01	.92	.63	.75	.65	.59	
YNL317W		.88	1.28	1.01	.9	1.28	1.01	
YNL318C	HXT14	.95	.86	.85	.61	.86	.97	
YNL319W		.8	1.12	1.04	.84	1.06	.76	
YNL320W		.93	1.16	1.1	1.15	.92	.63	
YNL321W		.85	1.18	1.3	.98	1.82	1.52	
YNL322C	KRE1	1.19	1.19	.93	.91	1.82	1.35	
YNL323W		.92	.96	1.03	.93	1.04	.8	
YNL324W		1	.88	.86	.83	.84	1.49	
YNL325C		.87	1.22	1.05	.86	1.56	1.11	
YNL326C		.86	.97	.8	.76	1.06	.8	
YNL327W	EGT2	.93	.94	.65	.53	.25	.23	
YNL328C		1	.97	.78	.99	.78	.97	
YNL329C	PAS8	1.04	1.03	.79	.79	.78	.8	
YNL330C	RPD3	1.2	1.47	1.08	1.28	1.54	1.22	
YNL331C		1.16	1.14	.8	.73	1.56	2.13	
YNL332W		.86	1.49	.79	.91	1.59	1.89	
YNL333W		.99	1.15	.9	.85	1.25	1.08	
YNL334C		1.03	1.16	.84	.97	1.45	1.35	
YNL335W		.79	.81	.84	.66	1.08	1.37	
YNL336W		1.2	1.45	1.23	1.61	1.92	1.41	
YNL337W		.88	.94	.87	.83	.83	.86	
YNL338W		.88	.94	.78	.78	.74	1.12	
YNL339C		.94	.87	.76	.81	.53	.66	
YNR001C	CIT1	1.37	1.56	1.64	2.33	6.25	9.09	
YNR002C		.83	1.04	.95	.85	1.72	2.27	
YNR003C	RPC34	1.03	1.12	.73	.94	.47	.6	
YNR004W		.88	1.06	.9	.85	1.28	.98	
YNR005C		.84	.91	.65	.71	.99	1.2	
YNR006W	VPS27	.8	.81	.81	.76	1.04	.93	
YNR007C		.85	.93	1.05	.93	4.55	3.13	
YNR008W		.83	.97	1.03	.95	1.32	.98	
YNR009W		.66	.68	.62	.65	.35	.36	
YNR010W	CSE2	.74	.75	.71	.65	1.08	.7	
YNR011C	PRP2	.83	.96	.74	.7	.53	.67	
YNR012W	URK1	.96	.81	.58	.52	.68	.5	
YNR013C		1.14	1.19	.75	.78	.6	.62	
YNR014W		.82	.87	.68	.87	2.86	1.15	
YNR015W		.74	.81	.6	.57	.71	.99	
YNR016C	FAS3	.95	.87	.74	.67	.59	.71	
YNR017W	TIM23	.85	.85	.6	.74	.69	.64	
YNR018W		.86	.77	.7	.66	1.11	.74	
YNR019W	SAT1	.71	.81	.61	.77	1.82	1.3	
YNR020C		.83	.82	.81	.72	.73	.48	
YNR021W		.86	.87	.6	.83	.54	.45	
YNR022C		.64	.78	.72	.7	.82	.51	
YNR023W		1.04	1.16	.78	1.09	1.03	1.47	
YNR024W		.7	.85	.67	.62	.58	.44	
YNR025C		.7	.8	.62	.62	.42	.48	
YNR026C	SEC12	.61	.76	.68	.63	.61	.36	
YNR027W		.95	.98	.72	.78	.55	.63	
YNR028W		.8	.74	.81	.72	.91	.61	
YNR029C		.85	1.01	.75	.9	.67	1.64	
YNR030W		.99	1.37	1.1	1.3	1.12	.41	
YNR031C	SSK2	1	.97	.88	.73	.7	.75	
YNR032W	PPG1	.81	.85	.73	.76	1.14	.51	
YNR033W	ABZ1	1.1	.89	.78	.76	1.03	.73	
YNR034W	SOL1	.78	.74	.76	.72	2.86	1.18	
YNR035C		1.01	.93	.97	.9	1.22	1	
YNR036C		.87	.93	1.19	1.06	1.41	.68	
YNR037C		1.16	1.28	1.32	1.33	2.38	1.33	
YNR038W		.76	.61	.44	.39	.35	.28	
YNR039C		.74	.71	.51	.58	.42	.69	
YNR040W		.81	.87	.88	.88	.77	.78	
YNR041C	COQ2	1.01	1.08	.93	1.27	1.01	1.02	
YNR042W		.86	1.02	.93	.99	.86	.6	
YNR043W	ERG19	.94	.96	.65	.61	.45	.32	
YNR044W	AGA1	.89	1.3	.92	.77	.93	.78	
YNR045W	PET494	.78	.92	.89	.92	1.33	.64	
YNR046W		.6	.63	.47	.46	.35	.35	
YNR047W		.91	.87	.85	.91	.91	.67	
YNR048W		.65	.62	.58	.56	.6	.55	
YNR049C	MSO1	.77	.9	.86	.92	1.56	.9	
YNR050C	LYS9	.84	.64	.54	.69	.44	.25	
YNR051C		1.05	1.15	.95	.82	.45	.34	
YNR052C	POP2	.87	.93	.75	.7	.7	.53	
YNR053C		1.33	1.22	.71	.66	.3	.19	
YNR054C		.76	.78	.55	.49	.34	.3	
YNR055C	HOL1	1.09	1.27	1.16	1.14	1.04	.91	
YNR056C		.85	.99	.95	.81	1.18	.7	
YNR057C	BIO4	.85	.93	.83	.76	.85	.91	
YNR058W	BIO3	.62	.68	.74	.52	1	.68	
YNR059W		1.2	1.18	.97	.94	1.12	.93	
YNR060W		.72	1.03	.72	.68	1.16	.85	
YNR061C		.98	1.3	1.05	.91	.72	.53	
YNR062C		.62	.74	.71	.69	.66	.71	
YNR063W		.79	.83	.72	.79	.91	.86	
YNR064C		.77	.88	.71	.66	.85	1.18	
YNR065C		.91	.98	.96	.95	.91	.97	
YNR066C		.81	.81	.93	.78	.88	.79	
YNR067C		.88	.78	.69	.56	.26	.32	
YNR068C		.73	.64	.73	.6	.62	1.15	
YNR069C		.94	.88	.78	.75	.67	.71	
YNR070W		.69	.83	.69	.59	.55	.59	
YNR071C		.78	.85	.94	.8	3.85	1.49	
YNR072W	HXT17	.88	.87	.82	.78	1.67	1.15	
YNR073C		.75	.87	.79	.82	4.55	2	
YNR074C		.7	.71	.6	.61	.62	.41	
YNR075W		1.11	.98	.72	.63	.47	.38	
YNR076W	PAU6	1.05	1.02	1.01	.81	.97	.73	
YNR077C		1	1.14	.84	.78	.84	1.06	
YOL001W	PHO80	.86	.88	.76	.65	.77	.67	
YOL002C		1.12	1.3	.88	.85	.59	.46	
YOL003C		.92	.99	.96	.88	.99	.88	
YOL004W	SIN3	.93	.93	.88	.78	.76	.71	
YOL005C	RPB11	1.22	1.11	.99	1.04	1.18	.76	
YOL006C	TOP1	1.04	1.14	.79	.85	.64	.53	
YOL007C		1.2	.71	.68	.66	.47	.44	
YOL008W		.83	.91	.76	.67	.84	.55	
YOL009C		.81	.8	.79	.74	1.19	.8	
YOL010W		.78	.71	.57	.56	.3	.23	
YOL011W		.83	.97	.86	.79	.76	.76	
YOL012C		.68	.89	.7	.81	.55	.53	
YOL013C		.93	1.15	.94	.97	1.64	1.08	
YOL014W		.99	1.39	.71	.75	.46	.34	
YOL015W		1.33	1.23	.67	.61	1.12	.63	
YOL016C	CMK2	.92	1.33	1.19	1.59	1.72	1.39	
YOL017W		1.12	1.28	.95	.82	1	.55	
YOL018C		.99	1.02	.93	1.12	1.28	1	
YOL019W		1.2	.81	.48	.5	.54	.35	
YOL020W	SCM2	1.12	1.03	.92	.92	.47	.63	
YOL116W	MSN1	.76	1.35	.93	.74	1.79	1.64	
YOL117W		.95	1.3	1.22	.98	2.22	2.44	
YOL118C		.77	1.1	1.06	.85	1.41	1.75	
YOL119C		1.06	1.04	.81	.75	1.75	1.85	
YOL120C	RP28A	.94	1.32	.89	.66	.29	.19	
YOL121C	RPS16B	1.01	1.1	.92	1.01	.36	.21	
YOL122C	SMF1	.85	1.32	1.54	1.52	1.32	1.59	
YOL123W	NAB4	1.28	1.25	.92	.76	.75	.83	
YOL124C		.89	1.33	.55	.54	.85	.26	
YOL125W		1.19	1.28	.72	.67	.84	.72	
YOL126C	MDH2	.93	.97	.74	1.1	2.13	2.63	
YOL127W	RPL25	.85	1.1	.87	.92	.36	.25	
YOL128C		1.16	1.22	1.09	.79	1.41	.93	
YOL129W		.93	1.27	1.43	1.59	1.49	1.64	
YOL130W		1.04	1.35	.54	.43	.57	.46	
YOL131W		.66	.85	.83	.72	1.03	1.54	
YOL132W		.88	1.49	.76	.79	1.54	1.16	
YOL133W		.78	.88	.91	1.03	.96	.63	
YOL134C		.85	.83	.92	1.14	1.72	.91	
YOL135C		.88	.87	.7	.85	.91	.75	
YOL136C	PFK27	1.39	1.37	.91	.83	1.04	.51	
YOL137W		1.1	1.43	.87	.83	1.06	1.04	
YOL138C		1.04	.78	.76	.91	1.47	1.49	
YOL139C	CDC33	1.1	1.04	.81	.98	.51	.35	
YOL140W	ARG8	.89	.97	.65	.65	1.03	.78	
YOL141W		1.01	1.18	.56	.69	1.03	.87	
YOL142W		.83	1.15	.7	.74	1.1	.59	
YOL143C	RIB4	.94	1.1	1.06	1.54	2.63	1.39	
YOL144W		.75	1.27	.94	1.02	.92	.82	
YOL145C		.94	1.03	.92	.96	.91	.69	
YOL146W		.86	1.37	1	.8	1.45	1.09	
YOL147C	PMP27	1	1.52	.86	.72	1.1	1.37	
YOL148C	SPT20	.95	1.14	1.04	1.11	1.27	.93	
YOL149W		1.11	1.18	1.04	.97	.88	.69	
YOL150C		.78	.89	.88	.88	1.89	1.27	
YOL151W		1.28	1.05	.89	.93	2.13	1.37	
YOL152W		.88	.79	.61	.65	1.22	1.18	
YOL153C	pseudo-CPS1-hom	1.08	1.43	1.04	1.45	2.27	3.33	
YOL154W		.96	1.23	1.01	1.09	1.52	1.12	
YOL155C		1.15	1.2	1.22	1.49	1.25	1.75	
YOL156W	HXT11	1.04	1.28	1.18	.81	1.41	1	
YOL157C		1.01	1.09	.76	.99	2	1.61	
YOL158C		.93	1.05	.88	.8	.89	.57	
YOL159C		.93	1.09	.88	1.18	1.47	1.35	
YOL160W		.7	.75	.83	.79	1.04	.6	
YOL161C		1.22	1.16	.85	.85	.95	.83	
YOL162W		.86	1	.81	.65	1.43	.99	
YOL163W		.81	1.01	.77	.92	1.33	1.19	
YOL164W		.83	1.09	.66	.76	1.39	1.1	
YOL165C		1	.92	.76	.69	1.75	1.69	
YOL166C		.76	1.03	1.09	.98	1.23	.97	
YOR001W		1.09	1.15	.59	.53	.53	.52	
YOR002W	ALG6	1.15	2.04	1.33	1.12	1.43	1.02	
YOR003W	YSP3	.99	1.25	.81	.79	1.54	1.59	
YOR004W		.87	1.23	.61	.6	.87	.38	
YOR005C		.81	1.1	.95	.75	2.08	1.47	
YOR006C		.76	1.27	.85	.72	1.59	.95	
YOR007C		1.19	1.35	.95	1.06	2.17	1.92	
YOR008C	SLG1	.91	.81	.81	.88	1.3	.99	
YOR009W		.8	.73	.53	.64	.5	.69	
YOR010C	TIR2	1.01	1.1	.84	.88	1.02	.72	
YOR011W		.91	1.03	.88	.88	1	.96	
YOR012W		.88	.89	.81	.67	.74	.75	
YOR013W		.85	.98	.8	.9	.98	.8	
YOR014W	RTS1	1.02	.83	.77	.79	.96	.94	
YOR015W		.89	.85	.65	.83	.78	1.23	
YOR016C		.88	.85	.78	.65	.69	.69	
YOR017W	PET127	1.06	1.11	.76	.98	1.27	1.3	
YOR018W	ROD1	1.05	1.02	.86	.81	1.52	1.11	
YOR019W		1.08	1.64	.81	1.06	3.23	4.55	
YOR020C	HSP10	1.02	1.04	1.27	1.54	2.5	1.3	
YOR021C		.99	1.12	.63	.86	.65	.68	
YOR022C	NUP84	.83	1	.94	.79	1.33	1.2	
YOR023C		.94	.63	.41	.5	.88	1.19	
YOR024W		.91	.85	.85	.83	.78	.83	
YOR025W	HST3	1.15	1.22	.79	.91	.6	.78	
YOR026W	BUB3	.81	1.16	.88	.68	1.64	1.08	
YOR027W	STI1	1.05	.81	.72	.89	2.33	2.86	
YOR028C	CIN5	.81	.81	.87	.8	2.63	.92	
YOR029W		.78	.91	.74	.87	1.27	1.14	
YOR030W		.85	.85	.85	.74	1.32	1.2	
YOR031W	pseudo-CRS5	.89	.89	.88	.99	4.17	2.56	
YOR032C		.62	1.59	.98	.78	2.08	1.79	
YOR033C	DHS1	.98	.88	.81	.81	.56	1.08	
YOR034C		1.03	1.12	.88	.85	1.23	.94	
YOR035C	SHE4	1.2	1.15	.94	1.3	2.08	2.5	
YOR036W	PEP12	1.02	1.19	1.11	1.1	2.33	1.56	
YOR037W	CYC2	1.06	1.35	.86	1.11	1.82	1.75	
YOR038C	HIR2	1.12	1.11	.95	.92	1.03	1.35	
YOR039W	CKB2	1.12	.88	.67	.97	.8	.69	
YOR040W		1.09	1.32	1.01	1.05	1.79	1.32	
YOR041C		.96	.82	.82	1.01	3.57	2	
YOR042W		1.1	1.22	.93	1.01	2.08	1.52	
YOR043W	WHI2	1.14	.88	.6	.69	.63	.92	
YOR044W		.84	1.22	1.05	1.1	1.59	1.37	
YOR045W	TOM6	.98	1.64	1.15	1.28	1.41	1.01	
YOL021C		.84	.75	.58	.59	.39	.35	
YOL022C		1.16	1.22	.75	.7	.56	.46	
YOL023W	IFM1	.72	1.02	.81	.95	1.49	.83	
YOL024W		.86	1.12	.75	.69	1.04	1.04	
YOL025W		.78	.92	.7	.67	1.25	.93	
YOL026C		1.01	1.06	1.05	1	1.54	1.05	
YOL027C		.74	.8	.72	.74	1.02	.67	
YOL028C		1.09	.95	1.02	.76	.75	.54	
YOL029C		.78	.96	.96	.81	.63	.55	
YOL030W		1.3	1.67	1.45	1.64	2.78	1.02	
YOL031C		.8	.99	.93	.87	1.09	.63	
YOL032W		.98	1.22	1.14	1.06	5.88	3.23	
YOL033W	MSE1	.72	.83	.83	.91	.84	.54	
YOL034W		.95	1.08	.76	1.05	.93	.72	
YOL035C		.78	.76	.7	.79	.95	.72	
YOL036W		1.16	1.08	.68	.81	1.12	.98	
YOL037C		.74	.74	.7	.59	.74	.97	
YOL038W	PRE6	1.11	1.32	.93	.95	1.49	.83	
YOL039W	RPLA2	.98	1.08	1	1	.89	.2	
YOL040C	RPS21	1.04	.91	.75	.68	.35	.16	
YOL041C		.81	.8	.67	.63	.45	.74	
YOL042W		1.08	1.12	.86	.9	1.49	.96	
YOL043C		.73	.94	.91	.85	1.3	1.19	
YOL044W		.81	.87	.76	.86	1.43	1.2	
YOL045W		.78	.83	.8	.79	.59	.48	
YOL046C		.94	.87	.65	.75	1.09	.79	
YOL047C		.81	1.18	.94	.85	1.89	1.52	
YOL048C		1.03	1.19	1.25	1.2	3.03	2.63	
YOL049W		1.08	1.1	1.06	1	.88	.56	
YOL050C		.85	1.04	.76	.71	.92	.98	
YOL051W	GAL11	.93	.95	.78	.76	.64	.56	
YOL052C	SPE2	1.05	1.33	.71	.6	1.3	.82	
YOL053C	DDR2	.89	1.06	1.85	1.89	5.88	3.45	
YOL053W		1.19	1.67	1.18	1.02	2.44	2.33	
YOL054W		.74	1.2	.81	.73	1.33	.92	
YOL055C		1.09	1.02	.83	.84	1.23	1.05	
YOL056W	GPM3	.76	.93	.95	.79	.93	.55	
YOL057W		1.43	1.25	.77	.79	.68	.97	
YOL058W	ARG1	.94	1	.83	.93	.93	.87	
YOL059W	GPD3	1.19	1.01	.53	.6	1.01	.68	
YOL060C		.94	.79	.85	.78	.87	.84	
YOL061W		1	1.08	.67	.76	.36	.33	
YOL062C	AMP1	1.04	.91	.88	.88	1.04	.63	
YOL063C		.85	.63	.63	.66	.67	.65	
YOL064C	HAL2	.84	.74	.7	.69	.56	.36	
YOL065C		1.08	1.2	.97	1.16	2.08	1.05	
YOL066C	RIB2	1	1.3	.78	.78	.92	.58	
YOL067C	RTG1	.85	.88	.79	.79	.68	.7	
YOL068C	HST1	.74	.88	.84	.72	.8	.53	
YOL069W	NUF2	1.04	1.27	.88	.81	1.37	1.04	
YOL070C		1.3	1.41	.83	.79	1.27	.84	
YOL071W		.96	1.35	1.23	1.18	3.45	2.56	
YOL072W		1.33	1.28	.91	.9	.84	.66	
YOL073C		1.12	1.11	.88	.97	1.75	1.22	
YOL074C		.89	.93	.92	.77	.94	1.25	
