ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YBR054W	YRO2	1.19	2.08	2.33	2.08	3.57	2.86	
YBR055C	PRP6	.92	1.11	.96	1.11	.79	.7	
YBR056W		.8	1.41	1.85	1.32	3.03	2.5	
YBR057C	MUM2	.93	1.28	.84	.79	1.32	1.18	
YBR058C	UBP14	.85	1.27	.82	.79	1.09	.81	
YBR059C		.93	1.08	1.02	.88	1.33	1.32	
YBR060C	ORC2	.67	1.11	.7	.63	1.22	.73	
YBR061C		.9	1.3	.74	.67	1.11	.81	
YBR062C		.63	.95	.82	.72	2.27	1.25	
YBR063C		.76	1.32	.78	.74	1.25	1.27	
YBR064W		.61	1	.74	.6	1.32	.82	
YBR065C		.89	1.41	.89	1.01	1.43	1.3	
YBR066C		1.19	1.02	.97	.85	1.37	.79	
YBR067C	TIP1	1.1	1.25	1.09	1.03	3.13	3.57	
YBR068C	BAP2	1.01	1.56	1.27	.81	1.92	1.16	
YBR069C	TAT1	1.14	1.3	.6	.49	.32	.82	
YBR070C	SAT2	1.16	1.3	1.12	.75	.83	.65	
YBR071W		1.12	1.01	.83	.63	.88	.89	
YBR072W	HSP26	1.32	1.28	2	2.7	11.11	7.14	
YBR073W		1.14	1.15	.85	.65	.7	.91	
YBR074W		.95	1.45	1.05	.65	1.11	.88	
YBR075W		1.14	1.82	1.15	.85	.83	.79	
YBR076W		1.09	1.09	1.08	.69	1.28	1.35	
YBR077C		.97	1.37	1.06	.76	1.69	1.52	
YBR078W		1.14	1.56	1.19	1.54	1.14	.6	
YBR079C		1.06	1.02	.67	.63	.47	.31	
YBR080C	SEC18	1.09	.98	.94	.88	1.03	.68	
YBR081C	SPT7	.98	1.16	.96	1.1	.77	.7	
YBR082C	UBC4	.96	.98	.77	.81	1	.47	
YBR083W	TEC1	.96	1.28	.77	.89	1.61	1.72	
YBR084C-A	RPL19B	1.1	1.41	.93	.85	.54	.28	
YBR084W	MIS1	1.39	1.32	.82	.75	.55	.32	
YBR085W	AAC3	.88	1.52	1.03	.69	1.3	1.85	
YBR086C		1.41	1.56	1.19	1.09	1	.99	
YBR087W	RFC5	.83	.97	.88	.81	.91	.44	
YBR088C	POL30	1.1	.96	.67	.79	.62	.36	
YBR089W		1.1	.83	.72	.59	.42	.32	
YBR090C		1.54	1.16	1.14	1.08	1.35	.94	
YBR090C-A	NHP6B	1.02	.83	.72	.71	.68	.72	
YBR091C	MRS5	1.22	.81	.74	.66	.88	.85	
YBR092C	PHO3	1.05	1.2	.72	.53	.35	.23	
YBR093C	PHO5	1.18	1.89	.83	.61	.37	.37	
YBR094W		.89	1.14	.83	.6	.9	.73	
YBR095C		1.03	1.14	.83	.79	.99	1.06	
YBR096W		1.08	1.41	1.06	.8	.85	.53	
YBR097W	VPS15	1.18	1.04	.85	.72	1.14	.91	
YBR098W		1.18	.99	.83	.63	.88	.83	
YBR099C		1.1	1.09	.85	.63	.67	.9	
YBR100W		.74	.94	.81	.78	1.15	.83	
YBR101C		1.06	1.14	1.03	1.11	2.7	2.86	
YBR102C		.81	1.2	.83	.71	1.35	1.15	
YBR103W		.91	1.37	.91	.96	1.3	1.67	
YBR104W	YMC2	.85	1.01	.63	.58	.97	.65	
YBR105C		1.47	1.22	.7	.9	1.79	1.27	
YBR106W		1.22	1.16	1.04	1.01	.47	.25	
YBR107C		.9	1.1	.75	.81	1.1	.93	
YBR108W		.92	.97	.86	.89	.91	.73	
YBR109C	CMD1	.96	1.06	.93	.95	1.25	.95	
YBR110W	ALG1	.93	1.52	.87	.71	1.2	.83	
YBR111C	YSA1	1.08	1.15	1.37	1.79	2.63	1.56	
YBR112C	SSN6	1.3	1	.84	.78	.88	.77	
YBR113W		1.2	.9	.8	.64	.69	.88	
YBR114W	RAD16	.83	1.04	.77	.63	1.25	.83	
YBR115C	LYS2	1.3	.73	.57	.48	.51	.59	
YBR116C		1.14	1.03	.85	.75	3.45	5.26	
YBR117C	TKL2	1.56	1.61	1.03	.83	3.13	5.56	
YBR118W	TEF2	1.19	1.11	.99	.68	.87	.5	
YBR119W	MUD1	.94	1.61	1.04	.77	1.52	1.59	
YBR120C	CBP6	1	1.43	.85	.65	1.82	1.56	
YBR121C	GRS1	1.11	1.2	.75	.75	.48	.29	
YBR122C	MRPL36	1.14	1.37	1.1	.88	2.33	1.64	
YBR123C	TFC1	1.19	1.19	.78	.81	1.18	.93	
YBR124W		.79	.79	.83	.66	1.01	.65	
YBR125C		1.11	1.05	.7	.74	.93	.98	
YBR126C	TPS1	1.05	.97	1.47	1.59	3.45	1.52	
YBR127C	VMA2	1.45	1.43	1.2	1.09	.87	.64	
YBR128C		.93	1.45	.93	.83	1.18	.96	
YBR129C		1.01	1.47	1.11	.86	1.49	1.52	
YBR130C	SHE3	1.02	1.01	.88	.88	1.32	.71	
YBR131W		1	1.16	.79	.9	.9	.83	
YBR132C		.67	1.37	.96	.8	2.38	3.13	
YBR133C		1.28	1.22	.72	.75	.43	.71	
YBR134W		.85	.95	.89	.76	.97	.92	
YBR135W	CKS1	.86	.81	.65	.73	.65	.69	
YBR136W	ESR1	1.25	1.09	.93	.82	1	1.1	
YBR137W		1.3	.91	1	1.01	3.33	1.49	
YBR138C		1.18	1.19	.78	.57	1.59	1.08	
YBR139W		1.43	1.35	2.13	1.85	4	5.26	
YBR140C	IRA1	1.27	1.27	1.06	.83	.72	.74	
