# The data in this file were provided by Tyrell Conway's laboratory at
# OUMCF.  Samples were collected during a classic glucose-lactose
# diauxie experiment.  E. coli cells were grown in minimal medium
# containing 0.05% glucose and 0.15% lactose.  The dataset can be
# approximately divided into growth phases as follows:
# Timepoints 1-5 show logarithmic growth on glucose; time points 6-10
# reflect the diauxic lag phase, when cells shift from growth on
# glucose to growth on lactose; time points 11-14 reflect logarithmic
# growth on lactose; and time points 15-17 were taken during
# stationary phase.  Control values were obtained by averaging data
# from 12 hybridization experiments using samples from the early
# logarithmic growth phase.  A publication describing the results is
# available: Chang et al., Mol Microbiol. 2002 Jul;45(2):289-306.  See
# also http://www.ou.edu/microarray/oumcf/growth_trans.htm.
#
#BNUM	GENE	Timept 1	Timept 2	Timept 3	Timept 4	Timept 5	Timept 6	Timept 7	Timept 8	Timept 9	Timept 10	Timept 11	Timept 12	Timept 13	Timept 14	Timept 15	Timept 16	Timept 17
b0052	pdxA	-0.186724383	-0.155177916	0.090542497	0.101097182	0.006078519	-0.043712607	-0.084625034	-0.097477195	-0.196584749	0.043194102	0.240344037	0.147442761	0.116989062	-0.012163317	-0.018155004	-0.126646758	-0.256670131
b0053	surA	-0.324605976	-0.169368712	0.316966275	0.237741824	-0.213850596	-0.013412726	-0.129477178	-0.012555145	-0.382562408	0.32788433	0.951615398	0.061395017	0.444149273	0.231737411	0.113535894	0.1919471	0.541099147
b0054	imp	0.033395199	-0.04553583	0.229473445	0.039722212	-0.034062622	-0.521492611	-0.646909783	-0.134615	-0.476408942	-0.426427846	0.085047082	-0.515713241	-0.138101265	-0.487662	-0.568099321	-0.074555483	-0.18943439
b0055	djlA	-0.539502519	-0.012627963	0.119744369	0.091457213	-0.325019462	0.059350699	0.343030778	0.207616621	0.022446572	-0.099658273	0.260097119	-0.255501187	-0.237488568	-0.22192123	-0.085951459	-0.16803342	-0.293361977
b0056	yabP	-0.146018497	-0.034312113	0.182272267	0.271792333	-0.031704465	0.298595074	0.530682961	0.643649647	0.650438955	0.621608287	0.509324611	0.045687336	0.058583598	0.149517852	0.642398673	0.841802685	0.952031995
b0057	yabQ	-0.225014363	-0.02605025	0.294197516	0.461008328	-0.078078165	0.519872837	1.325515535	1.52716687	1.314410474	0.724044674	0.965997393	0.17796216	-0.105993491	0.31119319	1.01929071	0.69561057	1.3387604
b0058	rluA	-0.273167632	-0.143879641	0.102018747	0.441877733	-0.137968759	0.340433465	0.610972517	0.21011293	0.14137179	0.346264292	0.071747042	0.029169895	-0.130168317	-0.099354943	0.308832312	0.828914819	0.144039963
b0059	hepA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0060	polB	-0.067512751	-0.004247366	-0.08678008	0.077580137	0.007078761	0.171415051	0.3466538	0.017895606	-0.069941743	-0.29898302	-0.230463923	-0.303287649	-0.298141449	0.069993162	-0.116154443	-0.346414939	-0.230425172
b0061	araD	-0.002703315	-0.090509621	-0.139897066	0.190206691	0.592974076	0.632304501	0.544698792	1.026251603	1.035739395	0.314535759	0.06188105	-0.370148962	-0.466879793	-0.828757012	-0.101037423	-0.034714483	-0.189953261
b0062	araA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0063	araB	-0.008437043	0.053639772	-0.221464149	-0.137157019	0.120614929	0.1541111	0.380595089	0.026836914	-0.074020488	-0.005596276	-0.238196493	-0.243292014	-0.360118783	-0.316205783	-0.206535321	-0.038290724	-0.213403416
b0064	araC	-0.00458986	0.043296445	-0.033611155	-0.068459485	0.096802448	0.59173706	0.807441571	0.543799161	0.302225726	0.139417874	-0.021430378	-0.414716899	-0.475153779	-0.358128334	0.156363436	0.25802772	0.167695374
b0065	yabI	-0.281269164	-0.157454174	0.031512647	0.06631244	-0.084817146	1.001963994	1.573328571	1.270398535	0.722286937	0.412778802	0.436859771	0.107006698	-0.077425241	0.066713473	1.248456387	0.808526673	0.478942256
b0066	thiQ	-0.281040275	-0.033464892	0.203486598	0.116234677	-0.096998927	0.014765744	-0.042740811	-0.068052235	-0.08401192	0.045726212	-0.035691779	-0.118491046	-0.207605678	-0.062200838	0.07153858	0.135152146	-0.299053695
b0067	thiP	0.074084336	0.132397043	-0.030899514	0.129871837	0.288397589	0.160459441	0.2991597	0.079726098	0.049373258	-0.153181746	-0.171748597	-0.428857653	-0.326504036	-0.445060779	-0.537175614	-0.508332323	-0.635403153
b0068	tbpA	-0.078416888	-0.109048303	0.0270414	0.091951544	0.2942973	-0.037414123	0.101725114	-0.002307315	-0.216146839	0.059897469	0.09795043	-0.007307455	0.000981494	-0.24507992	-0.094371386	-0.122458431	-0.514185971
b0069	yabN	-0.115174757	-0.018388426	0.042761363	0.075372818	-0.001414902	-0.04756685	0.139766988	0.10769732	-0.145577633	-0.015512172	0.039557503	0.025212126	-0.209959822	-0.136906678	-0.124794376	-0.069721447	-0.399559554
b0070	yabM	-0.1198958	0	0	0	0	0	0.30630511	0.114859113	0	0.045452665	0	0	-0.034833646	0	0	0.150201235	0
b0071	leuD	-0.26090268	-0.24193115	0.416193384	0.327190201	-0.287680282	0.877520248	-0.153118317	-1.275371882	-0.855849525	-0.598052187	0.553664466	0.332045907	0.785390359	0.644097554	0.163208934	-0.60144785	-0.705009135
b0072	leuC	-0.067729084	-0.038790233	0.242287193	0.237712361	0.109366337	0.671434565	-0.084770048	-0.729958039	-0.648678997	-0.796454261	0.587759312	-0.288083537	0.392110036	-0.041070119	-0.783765382	-0.940491315	-0.898457432
b0073	leuB	-0.10667045	-0.111397246	0.186463878	0.029288084	0.088569494	-0.012914905	-0.925298714	-0.703640961	-0.279942988	-0.656773156	0.223266003	-0.449883805	0.173166966	-0.282325096	-0.917145671	-0.810157726	-0.99751134
b0074	leuA	-0.113058619	-0.07558827	0.175230357	0.147244465	-0.385720576	-0.107630836	-1.441579123	-1.418414437	-0.701568748	-0.732371148	0.412080982	0.059779407	0.210997674	0.199589158	-1.081266679	-1.046171447	-1.021971386
b0075	leuL	-0.50286959	0.030096352	0.375635386	0.678597184	0.601379913	0.783410379	0.773905667	0.614958536	0.713218628	0.636042922	0.258169672	-0.065030881	-0.019213446	0.039922831	0.341063994	0.432983659	0.057554543
b0076	leuO	-0.089502462	-0.050327392	0.098102987	0.168559549	-0.126611275	-0.017313447	-0.093967966	-0.073517769	-0.272289118	0.002234398	0.209339112	0.002015376	-0.076802996	0.029915316	-0.194829378	-0.113334634	-0.430702858
b0077	ilvI	-0.121726591	-0.119859984	0.198469631	-0.042921744	-0.189569275	0.030605922	-0.101562747	-0.528344639	-0.451040915	-0.210459896	0.695369006	0.216010166	0.580258805	0.43288396	-0.27416034	-0.212934871	-0.563692457
b0078	ilvH	-0.200607585	-0.123517825	0.024710706	0.222872143	0.369638169	0.490484082	0.522010467	-0.218392407	0.097706748	-0.024317185	0.062740156	-0.35140983	0.039877873	-0.214661099	-0.617223105	-0.601918345	-0.619986402
b0079	fruL	-0.24787326	-0.134515585	0.07238214	-0.092680605	-0.141395348	-1.245482237	-1.41679822	-1.255352976	-1.252902234	-0.79972247	0.104353163	-0.424600734	-0.648032122	-0.81204336	-1.493425129	-1.269376951	-1.374497105
