GB_GI	GB_accession	Clone_name
2395906	B20852.1	T30H11
2395917	B20863.1	T29B13
2395920	B20866.1	T29G12
2395921	B20867.1	T29I10
2395926	B20872.1	T30A21
2395929	B20875.1	T30G1
2395933	B20879.1	T30O4
2395934	B20880.1	T31A23
2395947	B20893.1	T26E19
2395953	B20899.1	T31M22
2395982	B20928.1	T2O8
2395984	B20930.1	T31A21
2395988	B20934.1	T31J19
2395990	B20936.1	T32H20
2395994	B20940.1	T6B15
2396016	B20962.1	T31A21
2396021	B20967.1	T32E5
2396045	B20991.1	T1P2
2396054	B21000.1	T3E9
2396059	B21005.1	T4J6
2396060	B21006.1	T4M16
2396080	B21026.1	T14K6
2396096	B21042.1	T28F5
2396097	B21043.1	T28F6
2396105	B21051.1	T29C10
2396106	B21052.1	T29F9
2396112	B21058.1	T30A21
2396115	B21061.1	T30K6
2396152	B21098.1	T6J21
2396190	B21136.1	F15A10
2396239	B21185.1	T3E5
2396241	B21187.1	T3O8
2396251	B21197.1	T12D16
2396252	B21198.1	T14F15
2396256	B21202.1	T1K3
2396258	B21204.1	T21D3
2396260	B21206.1	T23E20
2396265	B21211.1	T2B17
2396266	B21212.1	T32J11
2396269	B21215.1	T3I19
2396272	B21218.1	T5H8
2396308	B21254.1	T29B9
2396310	B21256.1	T3N13
2396336	B21282.1	T20G4
2396353	B21299.1	T21D3
2396355	B21301.1	T23E20
2396361	B21307.1	T32J11
2396363	B21309.1	T3I19
2396366	B21312.1	T5H8
2396383	B21329.1	T10H4
2396384	B21330.1	T11C19
2396386	B21332.1	T11I9
2396387	B21333.1	T11M13
2396399	B21345.1	T8H18
2396423	B21369.1	T2P16
2396426	B21372.1	T3E5
2396429	B21375.1	T4G14
2396432	B21378.1	T4L11
2396444	B21390.1	T11C19
2396454	B21400.1	T8F16
2396455	B21401.1	T8F2
2396456	B21402.1	T8H18
2396462	B21408.1	T11D7
2396464	B21410.1	T13F1
2396470	B21416.1	T18B14
2396484	B21430.1	T6K11
2396496	B21442.1	T13F1
2396497	B21443.1	T14C17
2396502	B21448.1	T18B14
2396515	B21461.1	T6J19
2396516	B21462.1	T6K11
2396554	B21500.1	T3E18
2396565	B21511.1	T23L17
2396570	B21516.1	T25J18
2396573	B21519.1	T26B13
2396574	B21520.1	T26H12
2396575	B21521.1	T26H16
2396576	B21522.1	T27C4
2396581	B21527.1	T30E3
2396584	B21530.1	T32L4
2396598	B21544.1	T24C4
2396600	B21546.1	T24O13
2396602	B21548.1	T25J18
2396605	B21551.1	T26B13
2396606	B21552.1	T26H12
2396607	B21553.1	T26H16
2396608	B21554.1	T8E6
2396613	B21559.1	T29O2
2396624	B21570.1	T16H11
2396638	B21584.1	T27P20
2396641	B21587.1	T29I6
2396643	B21589.1	T32M8
2396671	B21617.1	T17H3
2396698	B21644.1	T13K19
2396772	B21718.1	T3E18
2396782	B21728.1	T19F15
2396783	B21729.1	T19G5
2396784	B21730.1	T19P4
2396785	B21731.1	T20H8
2396787	B21733.1	T21K7
2396792	B21738.1	T27D13
2396793	B21739.1	T27P20
2396810	B21756.1	F3A21
2396885	B21831.1	T2L4
2396890	B21836.1	T2P5
2396902	B21848.1	T2D2
2396905	B21851.1	T2E9
2396927	B21873.1	T3D14
2396937	B21883.1	F12J10
2396970	B21916.1	F3G12
2397038	B21984.1	T1D7
2397054	B22000.1	T1E22
2397074	B22020.1	T1D7
2397075	B22021.1	T1E24
2397081	B22027.1	T1M21
2397082	B22028.1	T1P22
2397083	B22029.1	T2C22
2397133	B22079.1	T1E24
2397137	B22083.1	T1M21
2397138	B22084.1	T1P22
2397144	B22090.1	T7I24
2397149	B22095.1	T7M2
2397152	B22098.1	T8A6
2397154	B22100.1	T8D11
2397155	B22101.1	T8E19
2397157	B22103.1	T8G6
2397164	B22110.1	T8O7
2397176	B22122.1	T4G23
2397180	B22126.1	T4N13
2397181	B22127.1	T4N21
2397183	B22129.1	T6O9
2397191	B22137.1	T7F4
2397194	B22140.1	T3G23
2397195	B22141.1	T3H4
2397196	B22142.1	T3I24
2397200	B22146.1	T3L9
2397201	B22147.1	T3M1
2397202	B22148.1	T3M12
2397203	B22149.1	T3M15
2397209	B22155.1	T4B14
2397210	B22156.1	T4D3
2508322	B22647.1	F20M9
2509153	B23522.1	T12I1
2509656	B24025.1	F18E19
2509981	B24471.1	F20F18
2511339	B25829.1	F24K21
2511420	B25910.1	T16I15
2511926	B25960.1	T2I2
2512023	B26057.1	T7A9
2512024	B26058.1	T7A9
2512148	B26182.1	T2I2
2512534	B26568.1	T10D6
2512536	B26570.1	T10D7
2512561	B26595.1	T12A3
2512568	B26602.1	T12I1
2512590	B26624.1	T13I3
2512670	B26704.1	T16F1
2512671	B26705.1	T16F1
2512676	B26710.1	T16I8
2512680	B26714.1	T17A1
2512681	B26715.1	T17A1
2512769	B26803.1	T20B7
2512784	B26818.1	T20G6
2512792	B26826.1	T20J7
2512802	B26836.1	T21B2
2512812	B26846.1	T21E7
2512813	B26847.1	T21E7
2512864	B26898.1	T22O6
2512941	B26975.1	T24M9
2512942	B26976.1	T24M9
2512967	B27001.1	T25G1
2512986	B27020.1	T26B9
2512987	B27021.1	T26B9
2513027	B27061.1	T27E4
2513038	B27072.1	T27I5
2513039	B27073.1	T27I5
2513080	B27114.1	T28J2
2513118	B27152.1	T29L1
2513169	B27203.1	T30N5
2513191	B27225.1	T31J9
2513192	B27226.1	T31J9
2513193	B27227.1	T31K2
2513195	B27229.1	T31L1
2513255	B27289.1	T4A16
2513277	B27311.1	T4J14
2513278	B27312.1	T4J14
2513368	B27402.1	T7A18
2513475	B27509.1	T9H14
2513514	B27548.1	F19J9
2513604	B27638.1	T12A3
2513643	B27677.1	T14B4
2513644	B27678.1	T14B4
2513665	B27699.1	T15A1
2513666	B27700.1	T15A1
2513677	B27711.1	T15F5
2513678	B27712.1	T15F5
2513697	B27731.1	T16E4
2513707	B27741.1	T16H4
2513708	B27742.1	T16H4
2513711	B27745.1	T16I8
2513730	B27764.1	T17D5
2513731	B27765.1	T17D5
2513749	B27783.1	T17I5
2513816	B27850.1	T19D9
2513855	B27889.1	T20B7
2513864	B27898.1	T20G6
2513870	B27904.1	T20J7
2513871	B27905.1	T20K4
2513872	B27906.1	T20K4
2513914	B27948.1	T22O6
2513919	B27953.1	T23B6
2513972	B28006.1	T25G1
2514014	B28048.1	T27E4
2514064	B28098.1	T29L1
2514103	B28137.1	T30N5
2514120	B28154.1	T31L1
2514189	B28223.1	T5P13
2514190	B28224.1	T6A12
2514191	B28225.1	T6A12
2514209	B28243.1	T7A18
2514262	B28296.1	T9H14
2514264	B28298.1	T9I15
2514283	B28317.1	T9P21
2514284	B28318.1	T9P21
2514454	B28488.1	T10A11
2514530	B28564.1	T13F13
2514601	B28635.1	T14O11
2514602	B28636.1	T14O11
2514604	B28638.1	T14P19
2514605	B28639.1	T14P19
2514652	B28686.1	T16C18
2514687	B28721.1	T17C11
2514689	B28723.1	T17H14
2514700	B28734.1	T18C13
2514765	B28799.1	T20A15
2514766	B28800.1	T20B15
2514779	B28813.1	T20D10
2514849	B28883.1	T21I11
2514850	B28884.1	T21I11
2514869	B28903.1	T22A12
2514920	B28954.1	T22N24
2515004	B29038.1	T24I17
2515005	B29039.1	T24I17
2515032	B29066.1	T25C19
2515036	B29070.1	T25I10
2515040	B29074.1	T25K13
2515079	B29113.1	T26I15
2515085	B29119.1	T26K13
2515130	B29164.1	T27J18
2515131	B29165.1	T27J18
2515203	B29237.1	T29E20
2515204	B29238.1	T29E20
2515223	B29257.1	T29O13
2515224	B29258.1	T29O13
2515245	B29279.1	T30H15
2515248	B29282.1	T30J24
2515284	B29318.1	T31K12
2515307	B29341.1	T32G22
2515308	B29342.1	T32G22
2515520	B29554.1	T11H19
2515521	B29555.1	T11H19
2515573	B29607.1	T13F13
2515622	B29656.1	T14N16
2515623	B29657.1	T14N16
2515626	B29660.1	T14O22
2515627	B29661.1	T14O22
2515634	B29668.1	T15C22
2515635	B29669.1	T15C22
2515648	B29682.1	T15L20
2515649	B29683.1	T15L20
2515682	B29716.1	T16C18
2515683	B29717.1	T16C18
2515712	B29746.1	T16I15
2515751	B29785.1	T17C11
2515758	B29792.1	T17C18
2515759	B29793.1	T17C18
2515786	B29820.1	T17H14
2515792	B29826.1	T17I15
2515793	B29827.1	T17I15
2515817	B29851.1	T18C13
2515826	B29860.1	T18D17
2515827	B29861.1	T18D17
2515888	B29922.1	T19I10
2515889	B29923.1	T19I10
2515900	B29934.1	T19M14
2515901	B29935.1	T19M14
2515910	B29944.1	T20A15
2515911	B29945.1	T20B15
2515914	B29948.1	T20D10
2515927	B29961.1	T20I10
2515928	B29962.1	T20I10
2515930	B29964.1	T20K16
2515931	B29965.1	T20K16
2515967	B30001.1	T22A12
2515991	B30025.1	T22N24
2515997	B30031.1	T23C19
2515998	B30032.1	T23C19
2516009	B30043.1	T23L11
2516010	B30044.1	T23L11
2516038	B30072.1	T25A20
2516039	B30073.1	T25A20
2516040	B30074.1	T25C19
2516048	B30082.1	T25I10
2516054	B30088.1	T25K13
2516062	B30096.1	T25N21
2516063	B30097.1	T25N21
2516073	B30107.1	T26C20
2516074	B30108.1	T26C20
2516087	B30121.1	T26I15
2516181	B30215.1	T30E10
2516182	B30216.1	T30E10
